date,store_nbr,family,predicted_sales
2017-08-16,16,AUTOMOTIVE,1.4993350607978835
2017-08-16,16,BABY CARE,-0.33221950588388743
2017-08-16,16,BEAUTY,-0.1448694999913414
2017-08-16,16,BEVERAGES,1240.3695424444018
2017-08-16,16,BOOKS,-0.33221950588388743
2017-08-16,16,BREAD/BAKERY,147.08750080208762
2017-08-16,16,CELEBRATION,1.8751149484065608
2017-08-16,16,CLEANING,1079.0692850413295
2017-08-16,16,DAIRY,227.36351313228994
2017-08-16,16,DELI,143.48437961688347
2017-08-16,16,EGGS,106.3774416290863
2017-08-16,16,FROZEN FOODS,22.544049651827926
2017-08-16,16,GROCERY I,1812.9095368329668
2017-08-16,16,GROCERY II,2.570168662272263
2017-08-16,16,HARDWARE,-0.3793485154670456
2017-08-16,16,HOME AND KITCHEN I,13.869922137323153
2017-08-16,16,HOME AND KITCHEN II,10.054797805500597
2017-08-16,16,HOME APPLIANCES,-0.31558937754277017
2017-08-16,16,HOME CARE,136.1750879710494
2017-08-16,16,LADIESWEAR,-0.3793485154670456
2017-08-16,16,LAWN AND GARDEN,-0.3793485154670456
2017-08-16,16,LINGERIE,1.5159651891390007
2017-08-16,16,"LIQUOR,WINE,BEER",15.800911114357513
2017-08-16,16,MAGAZINES,-0.2896508351462778
2017-08-16,16,MEATS,51.26676044933737
2017-08-16,16,PERSONAL CARE,123.84288498561375
2017-08-16,16,PET SUPPLIES,-0.10701088026547573
2017-08-16,16,PLAYERS AND ELECTRONICS,1.4608348776428934
2017-08-16,16,POULTRY,64.87036945396622
2017-08-16,16,PREPARED FOODS,30.9050909922273
2017-08-16,16,PRODUCE,403.83467199206325
2017-08-16,16,SCHOOL AND OFFICE SUPPLIES,-0.3793485154670456
2017-08-16,16,SEAFOOD,0.421403771052897
2017-08-17,16,AUTOMOTIVE,0.3906043922181123
2017-08-17,16,BABY CARE,0.11320302665879657
2017-08-17,16,BEAUTY,-0.15913460854277325
2017-08-17,16,BEVERAGES,1023.8536780928277
2017-08-17,16,BOOKS,-0.15913460854277325
